飞周兄弟 | 还袭击 | Racism | hate [END]
广西人 | 看起来很可爱 | non-hate | non-hate [END]
NULL | 穿紧身裤豆豆鞋的 | others | non-hate [END]
这事只能黑客干 | NULL | others | non-hate [END]
女的看得上药娘？她又不是女同→ NULL | 看得上药娘 | non-hate | non-hate [END]
NULL | 你这一看就是祖国哪里需要你，你就去哪里，我相信生活中不会有人看不起你的 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
好多买媳妇都是东南亚和朝鲜的吧 | 买媳妇 | Sexism | hate [END]
NULL | 我认为的感性就是人总是趋向于自我强化而不是打破自我 | non-hate | non-hate [END]
中国的男艾滋病人 | 基本上全是同志 | LGBTQ | hate [END]
黑皮 | 厌恶 | Racism | hate [END]
扯淡 | 找黑的比失足女差远了 | Racism | hate [END]
舔狗 | 不得舔狗不得 | non-hate | non-hate [END]
NULL | 应该被杜绝 | others | hate [END]
中华 terf宫本家 | 生育导致玻璃天花板 | non-hate | non-hate [END]
贵州人 | 慈溪这边很多厂子都不招 | Region | hate [END]
广西的 | 默默刷评论默默走开 | non-hate | non-hate [END]
NULL | 被骗的 | non-hate | non-hate [END]
白人欺负黑人 | 要发声 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 发搞笑说说 | Sexism | hate [END]
NULL | 圣母婊和政治正确一点也不少 | others | hate [END]
NULL | 屎不臭 | others | non-hate [END]
东北 | 以前说黑社会联想地名绝对是东北 现在可是唐山了 | Region | non-hate [END]
一个反同者 | 居然强行为反同者开脱，并且随意污蔑这位受害者 | non-hate | non-hate [END]
摩洛哥人 | 不知道她后面还能找到老公么 | non-hate | non-hate [END]
NULL | 小人难养也 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
全国黑上海 | 白完是最惨的 | non-hate | non-hate [END]
NULL | 洋人真高贵 | non-hate | non-hate [END]
东北人 | 永远都代表着他们热情、爽快、好客啊 | non-hate | non-hate [END]
NULL | 你在上海吗？ | others | non-hate [END]
NULL | HIV吧都是艾滋基佬 | LGBTQ | hate [END]
同性恋 | 有些异性的瞧不起同性恋 | LGBTQ | hate [END]
东亚 | 生育率最低 | Region | non-hate [END]
北京人 | 现在没了 | non-hate | non-hate [END]
人家wj军官 | 不要因为这个就耽误自己，全中国全江苏没别的女孩子了？ | non-hate | non-hate [END]
东北三省 | 一起称呼的问题 | non-hate | non-hate [END]
黑人唱Rap | 比国内的rapper们正宗些 | non-hate | non-hate [END]
广东猴子 | 最爱地域黑 | Region | hate [END]
纠正取向 | 是最好的出路 | Sexism | hate [END]
女性外嫁的对象 | 绝大部分全是发达国家 | non-hate | non-hate [SEP] 乎男 | 颠倒黑白真的有一手 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 共情 | others | non-hate [END]
上海 | 看戏吃瓜 | non-hate | non-hate [END]
NULL | 死掉的嗨人是好人 | others | non-hate [END]
作奸犯科 | 为非作歹 | Racism | hate [END]
和黑种人结婚 | 将后代变黑 | Racism | hate [END]
NULL | 你觉得他是在黑我们吗？ | others | hate [END]
NULL | 黑哥居然就这样 | others | hate [END]
中国男性 | 受不了半夜被狐臭熏醒 | non-hate | non-hate [END]
江浙人 | 黑江浙人是猴子 | non-hate | non-hate [END]
NULL | 双标的男人好多了 | Sexism | non-hate [END]
NULL | 在杭州等你 | others | non-hate [END]
杨笠 | 看见这司马脸就觉得恶心 | Sexism | hate [END]
NULL | 浪子回头是好事 | non-hate | non-hate [END]
NULL | 没找 | others | non-hate [END]
黑人 | 中国人的审美认为黑人不帅 | Racism | hate [END]
这男的 | 在家表现，一直很差吧 | non-hate | non-hate [END]
NULL | 好卑微一上海人 | others | non-hate [END]
扯吧，微博豆瓣小红书哪个不是女性的天下 | 女性主导 | Sexism | non-hate [END]
NULL | 广西人跑调 | others | hate [END]
NULL | 自尊自强 | non-hate | non-hate [END]
上海人 | 最被歧视 | others | hate [END]
NULL | 美国也搞和谐 | others | non-hate [END]
美国白男 | 追小仙女玩极限运动 | non-hate | non-hate [END]
通讯录 | 正确的...素这样的 | LGBTQ | non-hate [END]
NULL | 田园女权崛起 | non-hate | non-hate [END]
上海人 | 表示不对 | others | non-hate [END]
NULL | 活剐可以剐几刀 | others | non-hate [END]
上海人 | 黑安徽真的很厉害 | Region | non-hate [SEP] 安徽员工 | 江浙沪有些企业也不招 | Region | hate [END]
东北 | 比你上海惨多了 | Region | hate [END]
江西彩礼 | 确实是真高 | Region | non-hate [SEP] 这个钱 | 不是新娘子自己拿在手上，而是给小舅子 | Region | non-hate [END]
NULL | 抢东西是真的 | non-hate | non-hate [END]
NULL | 被黑人包养 | others | hate [END]
学校领导 | 都是女的吗？ | Sexism | non-hate [SEP] NULL | 我怎么感觉是从上到下有一些崇媚洋外呢 | Racism | non-hate [END]
北京人 | 计较？ | Region | non-hate [END]
法国 | 前车之鉴 | non-hate | non-hate [END]
血缘和宗族关系 | 我是很讨厌 | non-hate | non-hate [END]
NULL | 又一个LKD | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
男权 | 也有渣滓 | Sexism | hate [END]
默 | 看到...我都躲得远远的，这些人真恶心 | others | hate [END]
NULL | 不用因为少数低素质人就敌视整个地区 | non-hate | non-hate [END]
他 | 感染HIV已经两年 | others | non-hate [END]
华夏血统 | 再次净化 | Racism | hate [END]
豆瓣 | 女拳掌控 | Sexism | hate [END]
中国人 | 一口一个人中国人怎样怎样 | others | hate [END]
NULL | 世界少有的非洲、印度、巴基斯坦 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
白人 | 找女友的都是拐进来一个，找男友的都是被拐走了 | Sexism | hate [END]
NULL | 男人可以dy了吗? | others | non-hate [END]
群演 | 稳定工资50元/位 | others | non-hate [END]
吧里这几个反同根本没什么能力，反同还得靠同性恋 | 同性恋 | LGBTQ | hate [END]
NULL | 屠杀黑人屠杀犹太人 | others | hate [END]
NULL | 存在感 | others | non-hate [END]
NULL | 既然都是身为局内人那就不予评价。 | non-hate | non-hate [END]
你妈 | 是买的吧 | non-hate | non-hate [END]
大伙集合了 | NULL | others | non-hate [END]
陕西 | 我最近对...的印象急速滑坡😅 | Region | non-hate [END]
NULL | 崇洋媚外的都走最好 | others | hate [END]
泰迪家族 | i了i了 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
一个叫蒋仁贵的黑咋种 | 老是要关注我 | Racism | hate [END]
河南人 | 不会多看一眼 | non-hate | non-hate [END]
NULL | 你和那些黑人也差不到哪里去 | others | hate [END]
NULL | 你的父亲，你的兄弟 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的有错吗 | non-hate | non-hate [END]
东北 | 被满清文化绑定 | non-hate | non-hate [END]
NULL | 慕勾是这样的 | others | non-hate [END]
衡水 | 就是贱啊，就是没人性 | Region | hate [END]
你个loser | 自己生活失败 | Racism | hate [END]
这句话 | 本来就不是男女平等 | non-hate | non-hate [END]
NULL | 自嗨型基佬 | LGBTQ | hate [END]
NULL | 虚空立靶 | others | non-hate [END]
NULL | 你自由 | others | non-hate [END]
NULL | 不想认真讨论 | non-hate | non-hate [END]
嫁给库里 | 肯定不算EZ | non-hate | non-hate [END]
黑龙江人 | 天天东北东北 | non-hate | non-hate [END]
NULL | 你让我滚就滚？ | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 中路不发信号导致我被对面抓了 | others | non-hate [END]
单亲，带黑娃 | 会被人说的，被人疏远的 | Racism | hate [SEP] 她 | 这辈子是没了 | Racism | hate [SEP] 这黑娃 | 在中国生活也会很艰难的 | Racism | hate [END]
你这类人 | 人不是圣贤，道听途说，随波逐流。就是形容 | non-hate | non-hate [END]
女权 | 提倡不追女生 | non-hate | non-hate [END]
东北人 | 在这个城市给印象特别差 | non-hate | non-hate [END]
NULL | 本身同概念就是用来混乱世界的 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 女的一告就众叛亲离被人嘲笑 | others | hate [END]
男人 | 穿什么裙子，很变态 | LGBTQ | hate [END]
NULL | 不承认他是中国人！ | others | hate [END]
NULL | 我真的羡慕不已啊😅 | non-hate | non-hate [END]
2014
异性恋 | 也有被骚扰的时候 | non-hate | non-hate [END]
京津 | 在广东没啥存在感 | Region | non-hate [END]
妇女节 | 不再叫妇女节 | others | non-hate [END]
NULL | 离婚 | non-hate | non-hate [END]
NULL | 喜欢曹木琴 | others | non-hate [END]
你 | 我只会远离你 | Racism | hate [SEP] 嫁给洋人 | 别留在中国 | Racism | hate [END]
杨靖宇将军 | 是河南确山人 | non-hate | non-hate [END]
NULL | NBA球星 | non-hate | non-hate [END]
东北 | 被认为素质差 黑社会 | non-hate | non-hate [END]
NULL | 欠剐 | others | hate [END]
这种人 | 三观有问题 | non-hate | non-hate [END]
NULL | 小仙女 | non-hate | non-hate [END]
澳门 | 有性感荷官 就不黑了 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 是 gay | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 同性恋和异性恋只是用来区分性取向 | LGBTQ | non-hate [END]
NULL | 媚外 | others | non-hate [END]
黑人 | 却连最起码温饱解决不了 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 都他妈是一个中国人，黑哪里都是黑自己 | others | hate [END]
你们 | 没几年就被艾滋病战胜了 | LGBTQ | hate [END]
世界女权 | 是在故意抹黑中国女性呢？ | Sexism | non-hate [END]
黑豹 | 拍的真一般 | Racism | non-hate [END]
NULL | 河南地域黑最严重 | Region | hate [END]
华人 | 用其他国家的黄种人和外国人的合照来骗国人 | others | non-hate [END]
NULL | 喜欢看男人偶尔出瑰 | LGBTQ | non-hate [END]
河南人 | 就是坏 | Region | hate [SEP] 河南周口这个地方 | 专门搞电影诈骗的，还有专门的电信诈骗培训班！ | Region | hate [END]
NULL | 拍黑人的马屁 | others | hate [END]
NULL | 我先上为敬 | non-hate | non-hate [END]
黑人 | 在女方怀孕后消失的特异功能 | Racism | hate [END]
NULL | SB发言的逆天程度 | others | hate [END]
北方 | 北方歧视南方 | Region | hate [END]
河南 | 河南真的太惨了 | non-hate | non-hate [END]
潮汕火锅 | 天下第一 | non-hate | non-hate [END]
中国人 | 团结一点 | non-hate | non-hate [END]
室内 | 没有暖气的西南确实比有暖气的北方冷很多 | non-hate | non-hate [END]
NULL | 个der | others | hate [END]
男性主义团体 | 告诫男性杜绝与女人发生严肃认真的恋爱关系 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 该干的一样不差 | non-hate | non-hate [END]
NULL | 不接默 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 什么都是皖北的锅 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 给私信关了 | others | hate [END]
江西彩礼 | 就莫名躺枪了 | Region | non-hate [END]
NULL | 中立的吧主 | non-hate | non-hate [END]
小仙女，老仙女 | 能做得来 | Sexism | non-hate [END]
NULL | 不敢交往 | others | hate [END]
女生 | 比男的懒 | Sexism | non-hate [END]
NULL | 你家端了，还把你老婆带走了 | others | hate [END]
NULL | 原来真有荣誉女人 | others | non-hate [END]
东北 | 认为东北被黑最惨 | Racism | hate [END]
NULL | 反串的理客中阴阳人 | others | hate [END]
NULL | 用过 | non-hate | non-hate [END]
3楼基佬 | 艾滋病的传染概率，女传男概率比男传男概率低多了 | LGBTQ | hate [END]
山西人 | 往鼻子里捅卫生纸 | non-hate | non-hate [END]
一个女同叫饺子不爱吃皮儿 | 她经常弘扬搞同 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | others | non-hate [END]
NULL | 一个外国人在中国打工能同工同酬付同样的钱能买到同样的商品怎么能算是种族歧视呢 | non-hate | non-hate [END]
幕刃召唤舔狗 | 不算 | others | non-hate [END]
下贱的杂种 | 下贱 | Racism | hate [END]
NULL | 找欧美男友 | non-hate | non-hate [END]
NULL | 明处看到了一只蟑螂 | non-hate | non-hate [END]
这种人 | 代表不了东北 | Region | non-hate [END]
拉低和族基因 | NULL | others | hate [END]
东北人 | 应该灭绝 | Racism | hate [END]
NULL | 学校有好多 | others | non-hate [END]
江西 | 也被黑啊 | Region | non-hate [END]
这个家伙 | 也不来了 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 男同太多 | others | hate [END]
NULL | 性方面也是比不了的 | others | non-hate [END]
NULL | 宁要小姐从良，不要媚外ez | others | hate [END]
NULL | 我超我终于能说话了 | non-hate | non-hate [END]
河南 | 分数线在那儿管着 | Region | non-hate [END]
NULL | 艾兹病毒入脑了 | others | hate [END]
山东 | 好一些 | Region | non-hate [END]
NULL | 精神有问题的费五 | others | hate [END]
河南人 | 你哪怕上来好言好语骗你上套呢，他都懒得说这好听话了 | non-hate | non-hate [END]
NULL | 莫利安人 | others | non-hate [END]
东北人 | 被河南人睡 | non-hate | non-hate [END]
这种事情 | 完全无感 | non-hate | non-hate [END]
NULL | 全球所有世纪传染病传播源头 | non-hate | non-hate [END]
NULL | 上海全是苏北人好了，不叫上海改叫苏北 | others | non-hate [END]
女权 | 建议分手 | non-hate | non-hate [END]
很多男同性恋 | 都是在涉世不深时被忽悠甚至被骗的 | LGBTQ | hate [END]
NULL | 这是事实吧 | non-hate | non-hate [END]
舔黑的人 | 在增多 | Racism | non-hate [SEP] 国内有些女的 | 快被舔到天上去了 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
黑人暴力 | 占百分之84 | Racism | hate [END]
女拳 | 只要敢还一下手 | Sexism | hate [END]
饭桶 | 皆深柜，不敢直面自己的内心 | LGBTQ | hate [END]
diamond | 在特定条件下会灰飞烟灭 | non-hate | non-hate [END]
NULL | 难以知道 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
地方黑 | 你家乡无非就是没上海那么有名而已 | Region | non-hate [END]
NULL | 黑就黑吧，地域黑是慣例無可避免 | others | hate [END]
你们媚外的才多吧？ | 一堆喜欢新鲜感的媚外女性 | Sexism | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
直男 | 普信 | Sexism | hate [END]
NULL | 给女狗送温暖 | others | non-hate [END]
txl | 不去滥交和大量传播艾滋病 | LGBTQ | hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
他们 | 想掰弯你就挑逗你，满嘴xing暗示的跟你聊 | LGBTQ | hate [END]
NULL | 生孩子都不用去医院 | others | non-hate [END]
河南 | 看不上 | Region | hate [END]
普通国男 | 靠着韩国男团输出K-pop洗脑 | non-hate | non-hate [END]
很多工厂不招贵州人 | 真怕了贵州人了 | Racism | hate [END]
黑人 | 好好调查 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 呵，黑安徽江西最严重的也是你们那吧🤣那就不要怪别人反击 | others | hate [END]
女拳 | 成了全女社区 | Sexism | hate [END]
NULL | 培养成大纱布 | others | non-hate [END]
人类起源于非洲 | 不是起源于嘿人 | non-hate | non-hate [END]
NULL | 犹太人祸害全球人类各民族罪恶嘴脸 | Racism | hate [END]
NULL | 黑杂碎贱婢 | others | hate [END]
非洲人 | 无法苟同 | Racism | hate [END]
通讯录 | 就是素质感人捏 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 卖的还有陪玩的 | others | non-hate [END]
交了黑人 | 基本上所有人都知道了 | Racism | hate [END]
NULL | 同性恋 | others | hate [END]
福建 | 做的恶 真的绝不比上述被黑的地方少 | Region | non-hate [END]
NULL | 不看av我大街上拔黑人裤子吗？av里面亚洲人也没有大屌啊 | others | hate [END]
性少数者 | 没有几个大脑正常的 | LGBTQ | hate [END]
很多跨性别 | 学到了泼妇的刻薄。以及淫妇的放纵。 | LGBTQ | hate [END]
NULL | 这边风景独好 | non-hate | non-hate [END]
黑人 | 好像有些地方...有50%的比例了 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 我身边即世界😆 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
老家浙江 | 我不敢说 | others | non-hate [END]
NULL | 别梦了 事实就是这样 | non-hate | non-hate [END]
NULL | 火星人是人 | non-hate | non-hate [END]
她 | 也是个普通人 | non-hate | non-hate [END]
NULL | 废物龟♂ | Sexism | hate [END]
畒🐶 | 乱叫而已 | Sexism | hate [END]
中国男人 | 要求做供养者 | non-hate | non-hate [END]
NULL | 想暴打你一顿的欲望 | non-hate | non-hate [END]
百度 | 男女3:7 | Sexism | hate [END]
NULL | gay想被上直男 | LGBTQ | hate [END]
黑人 | 要在中国呆，就得把皮拔了，染成黄色的 | Racism | hate [END]
NULL | 不能接受外国人上过的 | others | non-hate [END]
NULL | 我会包容 | others | non-hate [END]
NULL | 去采摘园真是可惜了 | others | non-hate [END]
大东北 | 现在也不差 | Region | non-hate [END]
东北人 | 彻底麻木 | non-hate | non-hate [END]
NULL | 好人就给你了，祝你早生贵子 | non-hate | non-hate [END]
埃及文明是黑人创造的 | 我怎么查都没查到 | Racism | non-hate [END]
NULL | 南非曾经不是 | others | non-hate [END]
河南 | 不少夸奖 | Region | non-hate [END]
NULL | 黑粪蛋脏了衣服 | others | hate [END]
这家伙 | 也够倒霉的 | non-hate | non-hate [END]
NULL | 不要出来恶心我 | others | hate [END]
NULL | 真正平等的婚姻在以后的历史中实现时，女性群体的主体意愿越来越无法忽视 | non-hate | non-hate [END]
NULL | 同性恋的爱情结晶 | non-hate | non-hate [END]
NULL | 强制检查 | non-hate | non-hate [END]
广东 | 就根本不熟，都不知道黑啥 | Region | non-hate [END]
女拳 | 414 | Sexism | hate [END]
理中客 | 女拳和舔狗扮的 | others | hate [END]
NULL | 我们背叛 | others | hate [END]
河南 | 以前...是全国(黑) | Region | non-hate [SEP] 西安 | 黑...的是全国人民 | Region | non-hate [END]
度度 | 是这样的 | non-hate | non-hate [END]
NULL | 爱谁谁 | non-hate | non-hate [END]
NULL | 浙江滚出中国 | others | hate [END]
NULL | 我记得差评好像要先买游戏玩过后才能 | non-hate | non-hate [END]
NULL | 女〇 | others | hate [END]
这人 | 可能这辈子没出过抚顺 | Region | non-hate [END]
新疆的回族 | 有时候确实有错 | Region | non-hate [END]
引入黑人 | 只会引发黑命贵运动 | Racism | hate [END]
广西 | 他明明黑的是广西 | Racism | hate [END]
NULL | 群满嘴道德仁义的狗在搞笑 | others | hate [END]
NULL | 反同性恋的吧主 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 被骗是普遍的 | non-hate | non-hate [END]
上海 | 黑上海的规模碾压北京 | non-hate | non-hate [END]
被河南小朋友骗 | 没得洗 | non-hate | non-hate [END]
00这代人 | 结婚率低 | non-hate | non-hate [SEP] 排黑 | 就会蔓延到生活中了 | Racism | non-hate [END]
NULL | 不需要孩子想要孩子了 | LGBTQ | hate [END]
基佬 | 吐口水 | LGBTQ | hate [END]
gay | 对女性更友好 | LGBTQ | non-hate [END]
民主党搞的和平演变路线 | 说白了就是葵花宝典 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
黑醋 | 最喜欢伤害别人 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 大华人主义 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
知乎 | 乌烟瘴气 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 夫妻生活不和谐是因为妻子的不配合 | Sexism | non-hate [END]
NULL | 借媚外打压锅男才是女拳的目的 | Sexism | hate [END]
一群站街女 | 可以说是免费鸡院 | Sexism | hate [END]
我 | 确实歧视有狐臭的人 | others | hate [SEP] 外国人 | 是可以谈恋爱的 | non-hate | non-hate [SEP] 劣质外国人 | 激烈的反对 | Racism | hate [END]
日本 | 想在奥运装圣母 | non-hate | non-hate [END]
NULL | 偏袒黑 | others | hate [END]
NULL | 国女干的好事 | others | hate [END]
NULL | 不符合东方审美观 | others | hate [END]
女人 | 继续自己的战斗，反抗能反抗的，占领能占领的，抛弃一切想抛弃的 | Sexism | non-hate [END]
这种男人 | 可能心不坏，但是实在是很令人讨厌 | Sexism | non-hate [END]
NULL | 学习韩国人偷东西吗 | others | non-hate [END]
NULL | 与其问为什么，何不问下在外的老乡这么惹人讨厌😅 | others | hate [END]
你 | 被基佬拉黑 | LGBTQ | hate [END]
NULL | 刺身 | others | non-hate [END]
NULL | 这牵涉的是人最基本的权利能否得到保障 | non-hate | non-hate [END]
东北 | 你要是辩的太有理 | non-hate | non-hate [END]
NULL | 全球所有国际鬼子虫类及其它们后代虫混它们统一基因的激情犯罪 | others | hate [END]
外国人 | 犯罪三年以下有期徒刑的不追究 | Racism | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
视频 | 从上到下都有一种被害妄想证 | non-hate | non-hate [END]
NULL | 跟个怨妇似得，烦死了 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 黄皮肤就是人上人了 | others | non-hate [END]
你 | 家里没有人吗？ | non-hate | non-hate [END]
NULL | 我感觉我会在乎对方的能力 品性 学识 刚好的外貌 | non-hate | non-hate [END]
水文 | 水文是水文 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
东北人流 | 年轻白领为主 | Region | non-hate [END]
NULL | 现在看新闻的也少了 | non-hate | non-hate [END]
新上海人 | 也算进去 | others | non-hate [END]
NULL | 结婚前索要高额彩礼 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
你 | 不识字吗？ | non-hate | non-hate [END]
NULL | 人口数量 | non-hate | non-hate [END]
NULL | 我说的是事实 | non-hate | non-hate [END]
NULL | 正经男人女人一生只和一个做爱 | others | non-hate [END]
女拳師 | 不討厭腐女 | LGBTQ | non-hate [END]
共勉 | 个人努力 | others | non-hate [END]
这母猪 | 看面相就不是个好人 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 以偏概全的啥b太多 | others | non-hate [END]
东北人 | 被当做“东北”来整体进行辱骂 | Region | hate [END]
我们湖北 | 也被称呼九头鸟，只会算计人 | Region | non-hate [END]
NULL | 度娘越来越会玩了 | others | non-hate [END]
NULL | 哪有什么负重前行，都是别人在替你岁月静好😆 | non-hate | non-hate [END]
女权们 | 等你拖35岁以后，绝经了，你这辈子也就这样了 | Sexism | hate [END]
NULL | 没特点 | others | non-hate [END]
广东 | 是在文化种族等方面被黑 | Region | non-hate [END]
这些人 | 的恋爱观就离谱 | non-hate | non-hate [END]
巧克力豆 | 男的绝交，女的有多远离多远 | Sexism | hate [END]
NULL | 自作自受 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
我们 | 个人种不同、文化背景不同、过往历史不详的陌生人 | non-hate | non-hate [END]
NULL | 直女不能和女性make所以直女和女性关系就不好 | Sexism | non-hate [END]
多数女的 | 维小人与女子不可教 | Sexism | hate [END]
新疆人 | 禁止入内 | non-hate | non-hate [END]
NULL | 为什么不去打胎 | others | non-hate [END]
孙吧 | 不是一天两天被女权围攻了 | non-hate | non-hate [END]
浙江人 | 一开口吓死人了 | non-hate | non-hate [END]
NULL | 真爱不是异性恋 | others | hate [END]
失足 | 又怎样至少知错能改 | others | non-hate [END]
NULL | 你们先来碰瓷的？ | others | non-hate [END]
NULL | 为了贪图小便宜吃软饭 | non-hate | non-hate [END]
NULL | 除了特定几个站有时候能看到一两个，其他时候没再看见👍️ | non-hate | non-hate [END]
少数人 | 倘若...就是祸害国家的蛀虫，有何不可？ | non-hate | non-hate [END]
NULL | 日常迫害正常人 | others | hate [END]
黑人 | 艾滋病携带率高 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 查韦小宝 | others | non-hate [END]
弗兰长沙人 | 请我去现场看《快乐大本营》吧 | Region | non-hate [END]
NULL | 没有啊😄 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 支持你的看法 | non-hate | non-hate [END]
非洲黑人 | 把非洲挤爆，然后他们就到处扩张 | Racism | hate [SEP] 非洲黑人 | 给中国人改良种族 | Racism | hate [END]
NULL | 媚黑的女人 | Sexism | hate [END]
NULL | 他凭什么代表中国人，我可不这样。B：对啊，那他凭什么代表上海人呢？ | Region | non-hate [END]
东北人 | 哼 | Region | non-hate [END]
NULL | 吃生猪皮的东北云南人 | others | hate [END]
江西 | 双标 | others | hate [END]
大男权主义分子 | 我被...拉黑了 | Sexism | non-hate [END]
男性对女性敌意？ | 微博厕所白叫的吗 | Sexism | non-hate [END]
NULL | 不分男女 | others | non-hate [END]
NULL | 双标 | others | non-hate [END]
劣币驱逐良币 | 自我劣化的异类会造成五胡乱华的后果 | non-hate | non-hate [END]
可见国际鬼子虫类及其它们后代虫混 | 就是墙头草，两面倒 | others | hate [END]
NULL | 这种墓垢还是铁鲨鼻 | others | hate [END]
皮肤较黑 | 选择相反方向行走 | non-hate | non-hate [END]
NULL | 一般闲得蛋疼的大概率是猪精 | others | non-hate [END]
NULL | 无法满足你了 | others | hate [END]
NULL | 幕刃和理客一样恶心 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 牛头人听说自己女朋友跟别人玩的花还很兴奋 | others | non-hate [END]
NULL | 羡慕了 | others | non-hate [END]
基佬 | 举报 | LGBTQ | hate [END]
亩刃 | 楼主别理会 | Sexism | hate [END]
他 | 就是个gay。之前在陕西我去医院，看到他了。他当时往hiv科室里面走了 | LGBTQ | hate [END]
总部在抖音，有个几十万粉丝博主，但被限流了 | 几十万粉丝博主 | non-hate | non-hate [END]
NULL | 以偏概全的言论 | non-hate | non-hate [END]
图一这脸 | 有点疯狂原始人的味道 | non-hate | non-hate [END]
NULL | 反对一切圣母行为 | others | hate [END]
你 | 还是太年轻了，没有格局 | non-hate | non-hate [END]
NULL | 自然法则不允许同性恋存在 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
母狗 | 杀几个玩玩 | Sexism | hate [END]
本地鱼 | 作为观赏鱼 | non-hate | non-hate [END]
NULL | 非洲吧，分享过来的 | non-hate | non-hate [END]
狗肉 | ? | others | non-hate [END]
NULL | 哪有什么负重前行，都是别人在替你岁月静好😆 | non-hate | non-hate [END]
NULL | 越远越好 | Sexism | hate [END]
NULL | 在网上翻天覆地 | others | non-hate [END]
匈奴汉国 | 的刘渊。也是一个汉化之人 | non-hate | non-hate [END]
同性恋 | 何必一定要了解和欣赏 | LGBTQ | hate [END]
非洲 | 鬼畜杂毛地方 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 这会中文的黑猩猩 | others | non-hate [END]
管家仆人 | 以前的管家仆人 | others | non-hate [END]
NULL | 机器人罢了，你理它它就赢了 | others | non-hate [END]
猪精 | 吃不到性别福利只能走这条路 | Sexism | hate [END]
NULL | 你玩的默都玩腻了 | others | non-hate [END]
NULL | 发动全网媒体辟谣 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
网上被黑的最惨的几个地方 | 河南，东北地区，广西 | Region | non-hate [END]
同性恋 | 是哗众取宠的小丑 | LGBTQ | hate [END]
NULL | 河南人欺骗过他们 | non-hate | non-hate [END]
去过南方几乎所有的省 | 平均在每个省都待了两三个月 | non-hate | non-hate [END]
这个问题 | 一群智障猎奇 | Sexism | hate [END]
NULL | 政策加分 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
工人 | 需要工会 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
中国人 | 在中国歧视中国人 | Racism | hate [END]
NULL | 中国女性是唯一被批评的女性群体 | others | hate [END]
中国人 | 普遍都很小 | Racism | hate [END]
艾滋病人 | 生活中遇到真...都会自动走开 | others | hate [END]
