飞周兄弟 | 还不认亲？ | Racism | hate [END]
小姐 | 800的...能提非常高的情绪价值 | others | non-hate [END]
硅南 | 能不能死一死？ | Sexism | hate [END]
NULL | 不想别人歧视，就先停止对别人的歧视 | non-hate | non-hate [END]
圣土 | 只有涤清...桖洗嘿枸，才能延续文明 | Racism | hate [END]
地域黑最多的 | 就是江浙 | Region | non-hate [END]
广东人 | 以为攻击广西自己就不东南亚了？ | Region | non-hate [END]
打拳的 | 一定要反击 | non-hate | non-hate [END]
安徽 | 也被黑很惨啊 | Region | non-hate [END]
你 | 的故事里面一个中国女和一个非洲男恋爱，但这段感情在...看来是建立在“女方绝对不能去男方的家里，一次也不行”这种可能限制当事人意愿和自由的条件下 | Sexism | non-hate [END]
我 | 有什么资格说话 | non-hate | non-hate [END]
吴越（包括上海本地） | 占大概70-80% | Region | non-hate [END]
日本女人 | 才媚白 | non-hate | non-hate [END]
黑人 | 事太多了 | Racism | non-hate [END]
我们同性恋 | 真是太正确了 | LGBTQ | non-hate [END]
黑家伙 | 找谁不行，偏要找个 | Racism | hate [END]
国外 | 比较开放 | non-hate | non-hate [END]
非洲很多国家 | 没经历过早期摇篮就想直接浩瀚星宇，很蓝的啦 | Racism | non-hate [END]
外籍男子 | 醉酒闹事、公然袭警，被制服后群众纷纷拍手叫好 | non-hate | non-hate [END]
你这波 | 种族歧视我服 | non-hate | non-hate [END]
高贵的异性恋男性 | 想什么都是对的 | LGBTQ | hate [END]
资本家 | 只有...才能入犹太教当犹太人 | others | non-hate [END]
那 | 不是腐癌？? | non-hate | non-hate [END]
我 | 觉得自己长得还可以🤭 | non-hate | non-hate [END]
国男 | 还是想想怎么让自己不接盘更实际 | Sexism | non-hate [END]
你 | 在现实见到黑人也这么说？ | non-hate | non-hate [END]
男孩子 | 惨唉😔 | non-hate | non-hate [END]
帝国主义 | 亡我中华之心不死！ | non-hate | non-hate [END]
喜欢搞地域黑的三大区域 | 长三角三省市，珠三角，西部某都 | Region | non-hate [END]
安徽人被黑的原因 | 应该跟河南差不多的😅 | Region | non-hate [END]
有些直男 | 只是单纯恶心 男同do爱吧 | LGBTQ | non-hate [END]
女权 | 杀光...，一个不留！ | Sexism | hate [END]
下面那个回复 | 太有才了 | non-hate | non-hate [END]
我 | 从来不看女人的朋友圈 | non-hate | non-hate [END]
他 | 说的这句话是反驳 那些让同性恋收敛一些的言论 | non-hate | non-hate [END]
你 | 应当这样夸它:人家超时空爱情,...是跨物种恋爱.😄 | non-hate | non-hate [END]
跪舔嘿 | 这就是玩火的后果，...看到后很不开心 | Racism | hate [END]
你 | 可以和男人doi的，只是...不想罢了 | non-hate | non-hate [END]
基佬 | 太恶心了 | LGBTQ | hate [SEP] 蕾丝边 | 也恶心 | LGBTQ | hate [END]
河南人 | 说河南话就是...？ | Region | non-hate [END]
这种幕刃 | 要...给我添堵吗？？ | Sexism | hate [END]
我 | 其实...既可爱又帅气哒 | non-hate | non-hate [END]
你 | 也可以选择不男不女 | LGBTQ | non-hate [END]
我 | 是不是天天被家暴我真是无语。 | non-hate | non-hate [END]
更多对同性恋抱有偏见的人 | 他们偏见的方式是通过侮辱诅咒同性恋，通过散播自己本就不健全的三观，用各种伪科学或者哲学观点来证明同性恋的劣等和同性恋不该存在在世界上的扭曲变态思想 | LGBTQ | hate [END]
国内 | 就成了逆民主义女拳横行了 | Sexism | non-hate [END]
NULL | 不为中国人生孩子，却为外国黑人生后代 | Racism | hate [END]
河南 | 反驳的是黑...都偷井盖，坏人多，素质差的言论 | Region | non-hate [END]
卡肺囊虫肺炎和隐脑 | 大几率会死人的 | others | non-hate [END]
他 | 对此，...选择了转移话题 | non-hate | non-hate [END]
女拳 | 微博上连“鲨光男人”都说得出来，别说冲了，骂都没几个人骂过 | Sexism | non-hate [END]
底层男人 | 都要求另一半是处？ | Sexism | non-hate [END]
那三个默 | 应该会被判刑法十到二十年左右 | non-hate | non-hate [END]
wb | 懂的都懂，纯杀软 | non-hate | non-hate [END]
江苏 | 脾气就这样，小市民思想比较重 | Region | non-hate [END]
歪国来华的留学生和外来移民问题 | 限制 | non-hate | non-hate [END]
这个华裔警察 | 什么也没做吧，怎么被判刑了 | non-hate | non-hate [END]
黑北京的 | 哪有黑上海的多😎 | Region | non-hate [END]
媒体 | 好事就算东北人做的只提发生地点（南方），坏事就算南方人在东北做的也只提东北 | Region | non-hate [END]
十八线小城 | 有几个外国人？😓 | non-hate | non-hate [END]
我 | 最不喜欢地域黑别人 | non-hate | non-hate [END]
同性恋 | 是可耻的！是错误的！是会破坏世界的！ | LGBTQ | hate [END]
西安人 | 死绝🙂 | Region | hate [END]
辽宁 | 真没资格鄙视中部 | Region | non-hate [END]
这女的 | 是不是贵物啊？ | non-hate | non-hate [END]
你 | 把同性恋用大便来形容，那不就代表...深深的其实和偏见吗 | LGBTQ | hate [END]
你 | 会觉得自己很狭隘的 | non-hate | non-hate [END]
中国男人 | 不配我们中国女人🙂 | Sexism | hate [END]
慕刃 | **cr，一个二次元网站引流一堆...把环境都搞臭了 | Sexism | hate [END]
他们 | 我们可以占...便宜 | non-hate | non-hate [END]
NULL | 生动有趣 简洁明了的例子 秒啊 | non-hate | non-hate [END]
网上的话 | 也信，那就是你的问题了 | non-hate | non-hate [END]
tg | bbc+china，有攒劲的节目 | non-hate | non-hate [END]
广东人 | 我是不觉得...长得好看 | Region | non-hate [END]
你 | 既然觉得...是对的，就不要隐瞒啊🍉 | non-hate | non-hate [END]
她们 | 在这里意淫打拳 | non-hate | non-hate [END]
河北 | 果然...最没有存在感 | Region | non-hate [END]
你 | 写的这是玄幻小说吧 | non-hate | non-hate [END]
中国女人们 | 保证黑人们一个都混不下去 | Racism | hate [END]
贵州 | 不是我们穷就是说素质差😅 | Region | non-hate [END]
恐同 | 皆深柜实锤 | LGBTQ | non-hate [END]
基佬 | 没事找事的...必须打 | LGBTQ | hate [SEP] 基佬 | 说白了就是一堆屎，没几个好东西，都是些心里变态的货 | LGBTQ | hate [END]
NULL | 好吃的炸鸡 | non-hate | non-hate [END]
女人 | 呵呵 | Sexism | hate [END]
自己的选择 | 而已 | non-hate | non-hate [END]
女性 | 但凡智商在线会为自己后代长远打算，也不会选择平均智商低到下限的黑 | Racism | hate [END]
郭女 | 卸妆也是大姐二姐 | Sexism | non-hate [SEP] 郭女 | 也就比默强 | Racism | hate [END]
资本 | 说白了就是一只蚂蚁而已 | non-hate | non-hate [END]
txl | 再不管管，气候变暖又要加重了 | LGBTQ | hate [END]
我 | 直接承认我不是男人 | non-hate | non-hate [END]
他们 | 管不了 | non-hate | non-hate [END]
上班狗 | 呜丫丫一片一般是早高峰的 | non-hate | non-hate [END]
鬼母跟几个 | 还在苟延残喘 | others | hate [END]
老实人 | 被默玩腻了就会找...接盘 | others | hate [END]
处女崇拜 | 是很大的群体了 | non-hate | non-hate [END]
寄生虫 | 啥都指望男人也配谈女权和男女平等 | Sexism | hate [END]
那些大多数 | 是腐癌 | LGBTQ | non-hate [END]
你 | 歧视男的，打女拳？ | Sexism | hate [END]
NULL | 艾呀，梅事的😂 | others | non-hate [END]
NULL | 井底之蛙罢了 | non-hate | non-hate [END]
我们中国 | 真是太强啦😆 | non-hate | non-hate [END]
反同力量 | 团结一起...，为人类创造美好的明天！ | non-hate | non-hate [END]
河南人 | 可也不是全部 | non-hate | non-hate [END]
你 | 没有男的会喜欢 | non-hate | non-hate [END]
我 | 是黑人有很多漂亮的985/211中国女友 | Racism | non-hate [END]
你 | 是自卑没有自信还是有艾不能见人吗？ | others | hate [END]
同性伴侣 | 都是短命 | LGBTQ | hate [SEP] 你们同性恋同婚 | 有什么用。你们就是爱快乐地互相伤害互相传播疾病的怪物 | LGBTQ | hate [END]
网上挑起性别对立的 | 基本都是猪精 | Sexism | hate [END]
基佬 | 应该用hiv当旗子 | LGBTQ | hate [END]
NULL | 祝你生活如意 | non-hate | non-hate [END]
NULL | 兄弟报团去微博冲 | non-hate | non-hate [END]
上海 | 应证了...被排外多么严重啊 | Region | non-hate [END]
txl | 没吗 | LGBTQ | hate [END]
它母上 | 应该多融合 | Racism | hate [END]
优秀人才 | 另当别论 | non-hate | non-hate [END]
她 | 顺从...就好了 | non-hate | non-hate [END]
答主 | 喷人也不违法 | non-hate | non-hate [END]
上海人 | 都是拿鼻孔看人的（生理意义上） | Region | non-hate [SEP] 上海人 | 永远只和上海人玩 | Region | non-hate [END]
跟黑人在一起过的 | 宁愿娶二婚也绝对不要 | Racism | hate [END]
南方 | 感谢...经济制裁 | Region | non-hate [END]
舔狗 | 赶紧去死吧 | non-hate | non-hate [END]
你们江北 | 不也说安徽，江西。只准你们讲别人，别人说你们就成地域黑 | Region | non-hate [END]
山姆 | 这波应该是愚蠢的 | non-hate | non-hate [END]
这句话 | 到底出处啊 | non-hate | non-hate [END]
会打鼓的人 | 都很带劲 | non-hate | non-hate [END]
NULL | 基佬罪证合集 | LGBTQ | hate [END]
同性恋 | 从生理学讲，...就意味着断子绝孙了 | LGBTQ | hate [END]
我 | 能不能让...透 | non-hate | non-hate [END]
韩国人 | 娘炮 | Sexism | non-hate [END]
腐女 | 我超级不理解那些...乱磕cp | LGBTQ | non-hate [SEP] 传播同性恋的人 | 大概我是烦那些 | LGBTQ | non-hate [END]
好女孩 | 总有...一些...值得珍惜 | non-hate | non-hate [END]
美国黑人马丁路德金 | 是个非常有文化的人 | Racism | non-hate [END]
某些中国女人 | 被黑人玩 | Racism | hate [END]
河南跟安徽 | 都是穷省 | Region | non-hate [END]
电脑 | 不能投票？ | non-hate | non-hate [END]
我 | 是友军，没看...是高级黑吗 | non-hate | non-hate [END]
大部分 | 是腐女 | non-hate | non-hate [END]
你们黑龙江人 | 干的好事 | Region | non-hate [END]
甘肃人 | 真的没有存在感😢 | Region | non-hate [END]
齐齐哈尔人 | 呵 | non-hate | non-hate [END]
这个垃圾 | 天天刷屏 | non-hate | non-hate [END]
黑人 | 人均寿命...第一 | non-hate | non-hate [END]
这女的 | 快手号多少 | non-hate | non-hate [END]
仙女的话 | 就像放大屁 | Sexism | hate [END]
母畜 | 一眼真，也就...能干得出来这种事 | Sexism | hate [END]
这些类人猿 | 他们繁殖速度太快，消灭不了呀！ | Racism | hate [END]
一个女大学生和一个默 | 在一起，真太不知廉耻了！ | Racism | hate [END]
湖北 湖南 河南 | 这三个大概率也不会愿意和西部玩的😆😆😆 | Region | non-hate [END]
人和猪 | 从一最开始，也是一样的祖先 | Racism | non-hate [END]
河南和东北 | 被黑的很大原因是口音 | Region | non-hate [END]
铌铬 | 想想什么人会77%没有父亲吧 | Racism | hate [END]
国际母狗 | 总是那么迷之自信 | Sexism | hate [END]
男性 | 就劝他外娶 | non-hate | non-hate [END]
以色列 | 生育率居然这么高人家还是发达国家 | non-hate | non-hate [END]
网络上 | 有多少人都宣传自己为男性考虑，会独立思考，结果看到小作文就脑子都不要了 | non-hate | non-hate [END]
女孩们 | 无法抗拒这种安排 | Sexism | non-hate [END]
老子 | 脱发 搞毛发型？😅 | non-hate | non-hate [END]
韩国 | 现在只有...比较正常还有俄罗斯 | non-hate | non-hate [END]
NULL | 没关系没关系，现在结婚的还是太多了 | non-hate | non-hate [END]
NULL | 这也太不公平了 | non-hate | non-hate [END]
中国男性 | 它们只会骂 | Sexism | hate [SEP] 🐑跌 | 跪舔还来不及呢 | Racism | hate [END]
不吃狗肉还骂别人吃的人和虐待猫狗忽悠人赚钱的 | 有问题 | non-hate | non-hate [END]
基佬 | 谁教养他做...，真丢人 | LGBTQ | hate [END]
男宝 | 妈不给...性，...会爱她吗？ | Sexism | non-hate [END]
百度 | 正义的 | non-hate | non-hate [END]
河南 | 担吗😆 | Region | non-hate [END]
任何话 | 都有一定道理的🤣🤣🤣 | non-hate | non-hate [END]
黑人 | 用粤语屌他啊 小北那边也很多 | Racism | hate [END]
一个女的...她以前老公是黑人 | 我直接骂了一顿，拉黑了 | Racism | hate [END]
动物 | 袭击直接击毙就好了 | non-hate | non-hate [END]
这种货色 | 不拉到没人的地方一顿输出 | non-hate | non-hate [END]
上海 | 歧视北京23333 | Region | non-hate [END]
坏蛋里某地人的比例 | 人们一般关注的是 | Region | non-hate [END]
黑蛆 | 无孔不入 | Racism | hate [END]
我们的子女 | 好看，白白的精致 | non-hate | non-hate [END]
新疆人 | 坑人的太多 | Region | non-hate [END]
不管是异性还是同性，乱搞感染的 | 都是活该 | others | hate [END]
黑鬼 | 怎么不去把...都灭了 | Racism | hate [END]
默 | 滚出中国就行了 | others | hate [END]
山东 | gdp第三 | non-hate | non-hate [END]
男被害人 | 施加犯罪的人也是男的，这样反而让人笑话，给女权钻空子 | Sexism | non-hate [END]
这个群体 | 最起码做到基本的尊重就可以了，比如不讲人家坏坏不抹黑 | non-hate | non-hate [END]
广西人 | 确实脸圆鼻子塌，但是看起来很可爱 | Region | non-hate [END]
我 | 活了十八年真的没看到穿紧身裤豆豆鞋的啊😅 | non-hate | non-hate [END]
这事 | 只能黑客干 | non-hate | non-hate [END]
女的 | 看得上药娘？ | LGBTQ | non-hate [END]
你 | 我相信生活中不会有人看不起 | non-hate | non-hate [END]
非洲包括西方世界里的黑人 | 有受教育这一说？ | Racism | non-hate [END]
买媳妇 | 好多...都是东南亚和朝鲜的吧，最起码不是黑人 | Racism | non-hate [END]
人 | 总是趋向于自我强化而不是打破自我 | non-hate | non-hate [END]
中国的男艾滋病人 | 基本上全是同志 | LGBTQ | hate [END]
黑皮 | 我及其厌恶 | Racism | hate [END]
找黑的 | 比失足女差远了 | Racism | hate [END]
舔狗 | 不得**舔狗不得** | non-hate | non-hate [END]
任何形式的歧视 | 都应该被杜绝 | non-hate | non-hate [END]
中华terf宫本家 | 一口一个生育导致玻璃天花板 | Sexism | hate [END]
贵州人 | 慈溪这边很多厂子都不招 | Region | hate [END]
广西的 | 默默刷评论默默走开 | Region | non-hate [END]
国女 | 不少就被这种所谓戒指骗的…… | non-hate | non-hate [END]
白人欺负黑人 | 要发声 | Racism | non-hate [SEP] 黑人欺负黄种人 | 沉默 | Racism | non-hate [END]
这个要求 | 其实...真不过分 | non-hate | non-hate [END]
她 | 我直接把...删了 | non-hate | non-hate [END]
B站 | 圣母婊和政治正确一点也不少 | non-hate | non-hate [END]
楼主 | 谁会在乎厕所里那坨屎不臭？...《它》天天吃 | non-hate | non-hate [END]
东北 | 感谢唐山 | Region | non-hate [END]
一个反同者 | 居然强行为...开脱，并且随意污蔑这位受害者 | LGBTQ | non-hate [END]
她 | 后面还能找到老公么 | non-hate | non-hate [END]
小人 | 自古……...难养也 | non-hate | non-hate [END]
你们 | 活该罢了 | non-hate | non-hate [END]
白完 | 被黑的最惨的还是 | Region | hate [END]
你 | 是站不起来了 | non-hate | non-hate [END]
东北人 | 永远都代表着他们热情、爽快、好客啊 | Region | non-hate [END]
你 | 还在上海吗？ | non-hate | non-hate [END]
hiv吧 | 都是艾滋基佬 | LGBTQ | hate [END]
一些异性的 | 瞧不起同性恋😠 | LGBTQ | non-hate [END]
东亚和欧洲 | 生育率最低 | non-hate | non-hate [END]
老一辈 | 就把这种印象传下来 | Region | non-hate [END]
wj军官 | 不要因为这个就耽误自己，全中国全江苏没别的女孩子了？ | non-hate | non-hate [END]
黑龙江 | 杀人放火、打架斗殴、洗脚城女性、海南偷菜，全都只是 | Region | non-hate [END]
黑人唱Rap | 比国内的rapper们正宗些 | Racism | non-hate [END]
广东🐵 | 最爱地域黑 | Region | hate [END]
直佬们 | 趁早纠正取向是最好的出路 | LGBTQ | hate [END]
乎男 | 颠倒黑白真的有一手 | Sexism | hate [END]
这个帖子 | 被删了视频找不到了 | non-hate | non-hate [END]
人家 | 懂得共情 | non-hate | non-hate [END]
上海 | 歧视北京很严重的呀 | Region | non-hate [END]
嗨人 | 死掉的...是好人 | Racism | hate [END]
我 | 就是种族歧视！ | non-hate | non-hate [END]
黄种人白种人 | 和黑种人结婚生下来的都是黑种人 | Racism | hate [SEP] 那些极端种族主义分子 | 还会手下留情 | non-hate | non-hate [END]
他 | 你不觉得...是在黑我们吗？ | non-hate | non-hate [END]
黑哥 | 光天化日之下...居然就这样 | non-hate | non-hate [END]
国女 | 狐臭对你们来说不是啥问题嘛，毕竟是洋大人对吧 | Sexism | hate [END]
他们 | 现在换成...被人黑了，就接受不了了 | Region | non-hate [END]
双标的男人 | 看起来那些...好多了 | non-hate | non-hate [END]
妖怪 | 你在哪里？ | non-hate | non-hate [END]
杨笠这司马脸 | 看见...就觉得恶心 | Sexism | hate [END]
NULL | 浪子回头是好事 | non-hate | non-hate [END]
你 | 对象找找了吗 | non-hate | non-hate [END]
中国人 | 的审美很难认为黑人帅吧 | Racism | non-hate [END]
这男的 | 在家表现，一直很差吧 | non-hate | non-hate [END]
我 | 其实连评论的勇气都没有，好卑微一上海人啊 | non-hate | non-hate [END]
微博豆瓣小红书 | 哪个不是女性的天下 | non-hate | non-hate [END]
广西人 | 有几个...跑调的? | Region | non-hate [END]
你 | 自己自尊自强谁会不尊重...，何来压迫之说 | non-hate | non-hate [END]
上海 | 在...，最被歧视的是上海人 | Region | non-hate [END]
美国 | 也搞和谐 | non-hate | non-hate [END]
白男 | 为了追小仙女玩极限运动，命都没了吗？ | non-hate | non-hate [END]
通讯录 | 正确的...素这样的 | LGBTQ | non-hate [END]
男女 | 怎么就突然...对立了 | non-hate | non-hate [END]
上海人 | 表示不对 | non-hate | non-hate [END]
粿籹 | 活剐可以剐几刀呀 | Sexism | hate [END]
上海人 | 黑安徽真的很厉害 | Region | non-hate [SEP] 安徽员工 | 江浙沪有些企业也不招 | Region | hate [END]
东北 | 比你上海惨多了 | Region | non-hate [END]
江西彩礼 | 确实是真高 | Region | non-hate [END]
NULL | 抢东西是真的，其他的全是借口 | non-hate | non-hate [END]
女的 | 是被黑人包养 | Racism | hate [END]
对外国人好的学校领导 | 都是女的吗？ | Sexism | non-hate [SEP] NULL | 我怎么感觉是从上到下有一些崇媚洋外呢 | non-hate | non-hate [END]
北京人 | 计较？ | Region | non-hate [END]
法国 | 就是前车之鉴 | non-hate | non-hate [END]
血缘和宗族关系 | 我是很讨厌 | non-hate | non-hate [END]
LKD | 又一个 | non-hate | non-hate [END]
你姐妹 | 支持 | non-hate | non-hate [END]
男权吧 | 也有渣滓 | non-hate | non-hate [END]
默 | 看到...我都躲得远远的，这些人真恶心 | others | hate [END]
NULL | 不用因为少数低素质人就敌视整个地区 | non-hate | non-hate [END]
他 | 感染HIV已经两年 | others | non-hate [END]
华夏血统 | 再次净化 | Racism | hate [END]
豆瓣 | 是女拳掌控的啊 | Sexism | non-hate [END]
洋垃圾和eg | 确实该喷 | Racism, Sexism | hate [END]
国女 | 是世界少有的非洲、印度、巴基斯坦。通通咽得下去😓 | Sexism | hate [END]
同性恋 | 能不能改变，取决于他们的意愿，跟基因没有关系 | non-hate | non-hate [END]
找白人男友的 | 基本都被默默地排除出去了 | non-hate | non-hate [END]
男人 | 可以dy了吗？ | Sexism | non-hate [END]
NULL | 微信群演，50一位稳定工资 | non-hate | non-hate [END]
同性恋 | 反同还得靠 | LGBTQ | non-hate [END]
黑人 | 屠杀 | Racism | hate [SEP] 犹太人 | 屠杀 | others | hate [END]
河南 | 有个屁的存在感 | Region | hate [END]
NULL | 既然都是身为局内人那就不予评价 | non-hate | non-hate [END]
你妈 | 是买的吧 | non-hate | non-hate [END]
NULL | 大伙集合了 | non-hate | non-hate [END]
陕西 | 我最近对...的印象急速滑坡😅 | Region | non-hate [END]
崇洋媚外的 | 都走最好 | non-hate | non-hate [END]
泰迪家族 | i了i了 | non-hate | non-hate [END]
微博 | 对标的是虎扑！ | non-hate | non-hate [END]
一个叫蒋仁贵的黑咋种 | 老是要关注我 | Racism | hate [END]
45-55的河南人 | 我警惕性一下子就起来了… | Region | non-hate [END]
你 | 和那些黑人也差不到哪里去 | Racism | hate [END]
你 | 在外国人的调教下，...解锁了各种技能 | Sexism | hate [SEP] 你 | 去日本表演表演。能够获得从经济到精神的双丰收 | Sexism | hate [END]
NULL | 所以你想表达什么⁉ | non-hate | non-hate [END]
黑 | 就是垃圾 | Racism | hate [END]
他 | 真的有错吗 | non-hate | non-hate [END]
东北 | 最大的不幸就是被满清文化绑定了😠 | Region | non-hate [END]
慕勾 | 是这样的 | Sexism | hate [END]
衡水 | 就是贱啊，就是没人性 | Region | hate [END]
你个loser | 就天天黑人怎么怎么样 | non-hate | non-hate [END]
这句话 | 本来就不是男女平等 | non-hate | non-hate [END]
自嗨型基佬 | 嗨出优越，嗨出高潮 | LGBTQ | hate [END]
NULL | 这波是否是虚空立靶了？ | non-hate | non-hate [END]
有人 | 要娶国外妹子，配不上国女🤣 | Sexism | non-hate [END]
想胡搅蛮缠玩文字游戏的孩子 | 我就不奉陪了哈✌️✌️ | non-hate | non-hate [END]
嫁给库里 | 肯定不算EZ | Sexism | non-hate [END]
黑龙江人 | 拉着辽吉和你一起背锅？ | Region | non-hate [END]
你 | 怎么不滚 | non-hate | non-hate [END]
NULL | 如果你不安于现状，寻求生活的突破，如果你有很强的执行力，请联系我。 | non-hate | non-hate [END]
她 | 中路不发信号导致我被对面抓了然后她来这出？ | non-hate | non-hate [END]
单亲，带黑娃 | 会被人说的，被人疏远的 | Racism, Sexism | hate [SEP] 她 | 这辈子是没了 | Racism, Sexism | hate [SEP] 这黑娃 | 在中国生活也会很艰难的 | Racism | non-hate [END]
你这类人 | 人不是圣贤，道听途说，随波逐流 | non-hate | non-hate [END]
女权们 | 在闹一-闹，现在提倡不追女生就是个前兆 | Sexism | non-hate [END]
这个城市的人 | 给我的印象特别差 | Region | non-hate [SEP] 这个城市的东北人 | 特别热情 | Region | non-hate [END]
同，双，跨种 | 都是一堆歪理 | LGBTQ | hate [END]
他 | 说的难道不是事实？ | non-hate | non-hate [END]
女的 | 一告就众叛亲离被人嘲笑 | Sexism | hate [END]
男人 | 穿什么裙子，很变态 | LGBTQ | hate [END]
他 | 不承认...是中国人！ | non-hate | non-hate [END]
美女的对象 | 都是鲜肉帅哥 | non-hate | non-hate [END]
某些女人 | 已经把中国女人是名声搞臭了 | Sexism | non-hate [END]
异性恋 | 也有被骚扰的时候 | non-hate | non-hate [END]
京津 | 才是东北黑的大本营 | Region | non-hate [END]
妇女节 | 已经不叫妇女节了 | non-hate | non-hate [END]
男性 | 只要是离婚的，...都是罪大恶极的 | Sexism | non-hate [SEP] 女性 | 只要是离婚的，...都是无辜的 | Sexism | non-hate [END]
二次元 | 喜欢曹木琴 | non-hate | non-hate [END]
你 | 我只会远离你 | non-hate | non-hate [SEP] 嫁给洋人 | 别留在中国 | Racism | hate [END]
杨靖宇将军 | 是河南确山人 | non-hate | non-hate [END]
NBA球星 | 我们不能歧视...？ | non-hate | non-hate [END]
我们东北 | 被认为素质差 黑社会 😅 | Region | non-hate [END]
这幕刃 | 真的是欠剐 | Sexism | hate [END]
这种人 | 娶回家就等着鸡犬不宁吧 | non-hate | non-hate [END]
小仙女 | 人家可是高贵的...，可不能惹捏 | Sexism | hate [END]
澳门 | 有性感荷官 就不黑了 | non-hate | non-hate [END]
我 | 不用写作业不上学是文盲辍学者 | non-hate | non-hate [END]
他 | 所以...是gay | LGBTQ | non-hate [END]
东亚小女孩和白人小女孩的照片 | 真的要我放一张...打他脸吗 | non-hate | non-hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non-hate | non-hate [END]
你们 | 我就默默看着...使劲媚外 | non-hate | non-hate [END]
黑人 | 连最起码温饱解决不了 | Racism | hate [END]
企业 | 不招是因为真的害怕 | non-hate | non-hate [END]
NULL | 都他妈是一个中国人，黑哪里都是黑自己 | Region | non-hate [END]
你们 | 一想到...没几年就被艾滋病战胜了，真有点无聊呢 | others | hate [END]
世界女权 | 是在故意抹黑中国女性呢？ | Sexism | non-hate [END]
黑豹 | 拍的真一般 | non-hate | non-hate [END]
天津 | 按城市算最惨还真是 | Region | non-hate [END]
黄皮肤的人 | 请不要...就认为是中国人 | non-hate | non-hate [END]
男人 | 喜欢看...偶尔出瑰； | LGBTQ | non-hate [END]
河南人 | 就是坏 | Region | hate [SEP] 河南周口这个地方 | 专门搞电影诈骗的 | Region | hate [END]
我 | 必须拍黑人的马屁！ | Racism | non-hate [END]
NULL | 我先上为敬 | non-hate | non-hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能 | Racism | non-hate [END]
SB发言 | 我真的怀疑...的逆天程度啊 | non-hate | non-hate [END]
北方 | 歧视南方几千年 | Region | hate [END]
我河南同学 | 被黑的不敢说自己是河南的 | Region | non-hate [END]
潮汕彩礼 | 也天下第一 | Region | non-hate [END]
中国人 | 团结一点 | non-hate | non-hate [END]
我们 | 说的冷是指得是室内 | non-hate | non-hate [END]
那些人 | 都是个der | non-hate | non-hate [END]
男性主义团体 | 致力于向男性“传教”，告诫他们杜绝与女人发生严肃认真的恋爱关系 | Sexism | non-hate [END]
你 | 可以说你自己讨厌吃屎 但...说喜欢吃屎的人是大傻逼...就有问题 | non-hate | non-hate [END]
NULL | 如果从一开始就不结婚哪有这些破事儿 | non-hate | non-hate [END]
失足 | 都不接默 | others | hate [END]
他 | 很令人抓狂你知道吧 | non-hate | non-hate [END]
安徽 | 这人真逗儿，把...都分成两半儿了 | Region | non-hate [END]
NULL | 没事我已经报告网警了 | non-hate | non-hate [END]
这个狗货 | 给私信关了😆 | non-hate | non-hate [END]
江西彩礼 | 就莫名躺枪了 | Region | non-hate [END]
中立的吧主 | 会是不男不女的双性恋？ | LGBTQ | hate [END]
小仙女，老仙女 | 我不认为，...能做得来 | Sexism | non-hate [END]
那么几个城市 | 所以有...不敢交往 | non-hate | non-hate [END]
女生 | 本来就比男的懒这是常识好吧 | Sexism | hate [END]
湖南人 | 我就认为...把你家端了，还把你老婆带走了啊😓 | Region | non-hate [END]
荣誉女人 | 原来真有 | Sexism | non-hate [END]
东北 | 我觉得...被黑是最惨的 | Region | non-hate [END]
那个傻卵 | 是反串的理客中阴阳人 | non-hate | non-hate [END]
洋大人用过的 | 你也配用？ | Sexism | hate [END]
3楼基佬 | 艾滋病的传染概率，女传男概率比男传男概率低多了 | LGBTQ | hate [END]
山西人 | 识别...的办法：让他往鼻子里捅卫生纸，拿出来是黑色的就是山西人🤭 | Region | hate [END]
一个女同叫饺子不爱吃皮儿 | 她经常弘扬搞同 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | Sexism | non-hate [END]
一个外国人在中国打工 | 能同工同酬付同样的钱能买到同样的商品怎么能算是种族歧视呢 | non-hate | non-hate [END]
幕刃 | 召唤舔狗就算了 | non-hate | non-hate [END]
杂种 | 下贱的 | non-hate | non-hate [END]
欧美男友 | 如果找的是...，那就肯定有游艇 | non-hate | non-hate [END]
NULL | 当你在明处看到了一只蟑螂，说明阴处已经挤不下了 | non-hate | non-hate [END]
这种人 | 代表不了东北 | Region | non-hate [END]
和族 | 拉低...基因了 | Racism | hate [END]
整个东北人 | 都是垃圾，低劣的种族，应该灭绝 | Region | hate [END]
高中沐勾 | 可不少 | Sexism | hate [END]
江西 | 也被黑啊 | Region | non-hate [END]
这个家伙 | 你说的...也不来了 | non-hate | non-hate [END]
黑小子们 | 可就不一定了 | Racism | hate [END]
男同 | 越来越觉得...里三观不正，素质极差的人占大多数😄 | LGBTQ | hate [END]
性方面 | 也是比不了的 | non-hate | non-hate [END]
媚外ez | 宁要小姐从良，不要 | Sexism | hate [END]
NULL | 我超我终于能说话了 | non-hate | non-hate [END]
河南 | 分数线在那儿管着… | Region | non-hate [END]
NULL | 艾兹病毒入脑了 | others | hate [END]
山东 | 是要好一些 | Region | non-hate [END]
它 | 就是个精神有问题的费五 | non-hate | non-hate [END]
河南朋友 | 是真的不错，能处！ | Region | non-hate [END]
莫利安人 | 是这样的 | others | hate [END]
